name;bus;capacity;carrier;marginal_cost;output_parameters;tech;type
AT-coal-ccgt;AT-electricity;704.0;coal;35.17525773195877;{"max": 0.85};ccgt;dispatchable
AT-coal-st;AT-electricity;533.3239015883374;coal;43.74358974358975;{"max": 0.85};st;dispatchable
AT-gas-ccgt;AT-electricity;3591.66;gas;43.488372093023266;{"max": 0.85};ccgt;dispatchable
AT-gas-ocgt;AT-electricity;1147.0;gas;64.39897698209718;{"max": 0.85};ocgt;dispatchable
AT-gas-st;AT-electricity;13.5;gas;61.265206812652075;{"max": 0.85};st;dispatchable
BE-biomass-biomass;BE-electricity;268.0;biomass;15.384615384615385;{"max": 0.85};biomass;dispatchable
BE-coal-st;BE-electricity;1286.9135501718852;coal;43.74358974358975;{"max": 0.85};st;dispatchable
BE-gas-ccgt;BE-electricity;4693.967517174199;gas;43.488372093023266;{"max": 0.85};ccgt;dispatchable
BE-gas-ocgt;BE-electricity;285.39690577276065;gas;64.39897698209718;{"max": 0.85};ocgt;dispatchable
BE-gas-st;BE-electricity;239.22232901007786;gas;61.265206812652075;{"max": 0.85};st;dispatchable
BE-uranium-st;BE-electricity;5925.8;uranium;34.63855421686747;{"max": 0.85};st;dispatchable
CH-uranium-st;CH-electricity;3430.0;uranium;34.63855421686747;{"max": 0.85};st;dispatchable
CZ-coal-st;CZ-electricity;6369.843605869451;coal;43.74358974358975;{"max": 0.85};st;dispatchable
CZ-gas-ccgt;CZ-electricity;847.0;gas;43.488372093023266;{"max": 0.85};ccgt;dispatchable
CZ-lignite-boa;CZ-electricity;4623.0;lignite;30.18433179723502;{"max": 0.85};boa;dispatchable
CZ-uranium-st;CZ-electricity;8106.0;uranium;34.63855421686747;{"max": 0.85};st;dispatchable
DK-biomass-biomass;DK-electricity;195.0;biomass;15.384615384615385;{"max": 0.85};biomass;dispatchable
DK-coal-st;DK-electricity;3629.7834697513363;coal;43.74358974358975;{"max": 0.85};st;dispatchable
DK-gas-ccgt;DK-electricity;208.2;gas;43.488372093023266;{"max": 0.85};ccgt;dispatchable
DK-gas-st;DK-electricity;1319.2414124514034;gas;61.265206812652075;{"max": 0.85};st;dispatchable
DK-oil-st;DK-electricity;665.0;oil;78.31202046035807;{"max": 0.85};st;dispatchable
DK-waste-chp;DK-electricity;1110.0;waste;118.18540772532191;{"max": 0.85};chp;dispatchable
